iddespesa,alimentacao
842442,15.0
842445,65.0
842446,60.0
842447,23.97
842455,60.0
842456,25.85
842469,60.0
842470,35.8
842479,273.0
842490,26.31
842492,40.0
842493,25.0
842494,50.0
842495,35.61
842504,32.0
842506,60.0
842507,35.2
842522,50.0
842523,36.37
842532,50.0
842533,35.28
842558,70.0
842562,50.0
842563,25.14
842575,80.0
842576,25.2
842581,60.0
842582,35.9
842600,60.0
842601,35.06
842610,50.0
842611,35.82
842628,70.0
842629,34.82
842638,70.0
842673,20.0
842679,60.0
842680,23.86
842690,60.0
842691,25.22
842699,60.0
842700,35.96
842710,50.0
842711,35.66
842720,70.0
842721,35.99
842885,70.0
842886,35.66
842919,203.5
842926,60.0
842927,36.31
842940,60.0
842941,24.05
842953,50.0
842954,26.12
842958,60.0
842959,35.69
842970,90.0
842971,35.82
842975,70.0
842976,36.29
842985,60.0
842986,35.88
843005,50.0
843006,34.6
843013,145.92
843015,187.0
843020,60.0
843021,24.84
843134,2041.0
843227,187.0
843246,1677.0
843460,1885.0
843663,1963.0
843713,40.0
843714,23.51
843717,50.0
843718,35.39
843743,7000.0
