idreceita,Mensalidades
4602,72.0
4713,177.0
4727,177.0
4738,177.0
4749,213.0
4694,177.0
4704,123.0
875,354.0
722,157.0
4768,177.0
4779,177.0
807,177.0
3523,130.0
4126,177.0
3291,181.2303
4793,72.0
4812,113.0
1713,100.0
4829,177.0
605,177.0
2951,113.0
3473,177.0
3371,78.0
4840,144.0
4841,72.0
4852,100.0
4854,202.0
4864,72.0
1780,157.0
2670,72.0
2966,100.0
4139,177.0
4876,74.0016
4877,130.0
401,181.071
4892,145.0
4903,72.0
4914,177.0
4925,96.0
5059,183.4508
5061,72.0
5077,72.0
5078,96.0
5079,157.0
1039,87.0
2030,257.0
5091,206.7066
5095,314.0
5097,100.0
5098,73.59
5096,80.15
5099,95.61
5100,99.84
5103,180.8586
5107,367.8302
2273,96.0
5108,130.0
5119,130.0
5130,389.0
321,73.7208
5234,181.071
5238,180.86
5252,73.0
5262,158.77
5263,157.34
3661,72.0
3678,72.0
1519,73.5
5265,99.1872
3717,72.0
5288,145.0
900,157.0
2081,177.0
5253,157.0
239,87.0
2058,72.0
3964,72.0
5321,72.0
5332,177.0
2298,145.0
1060,116.1753
5348,87.0
5359,145.0
5371,123.0
5444,177.0
5445,130.0
5457,307.6346
3919,100.0
594,73.6344
3907,177.0
4805,182.45
4804,180.96
134,72.0
3304,88.72
5462,113.0
5473,87.0
289,126.1611
5487,72.0
5496,72.0
4875,100.0
634,307.0
5509,177.0
5531,126.2718
5529,99.07
5530,98.18
2820,125.9028
5610,73.81
5611,72.0
5551,87.0
5560,100.0
1008,430.0
5651,113.0
5663,341.32
5664,181.8146
5665,72.0
1508,177.0
4926,96.0
1385,115.77
5676,145.0
5687,145.0
5698,145.0
5710,130.0
5711,145.0
5712,72.0
5723,100.0
5734,172.09
5771,163.39
5772,162.07
5773,172.42
4102,434.0
5777,145.0
1409,157.0
3936,177.0
4416,96.0
5788,72.0
5801,113.0
187,96.0
476,177.0
1420,72.0
1432,72.0
1444,72.0
2508,130.0
1627,236.0
1793,72.0
757,157.0
768,113.0
2526,209.0
2287,277.0
2321,177.0
2453,145.0
1061,123.0
188,96.0
290,123.0
1421,72.0
1433,72.0
1445,72.0
5618,177.0
5964,177.0
5542,72.0
5966,72.0
5968,72.0
5971,149.23
5970,99.84
5972,145.0
1157,177.0
3187,177.0
3950,582.92
4113,87.0
71,177.0
5973,157.0
5985,100.0
5986,177.0
6000,130.0
6042,155.66
1736,339.01
1737,336.28
1738,333.26
1465,104.31
61,102.03
6058,177.0
6071,96.0
6048,157.0
6086,72.0
4207,145.0
6102,72.0
6229,72.0
6313,177.0
6324,130.0
6335,100.0
4252,113.0
6346,72.0
6348,176.05
6350,130.0
6363,130.0
2689,177.0
2920,340.0
3222,72.0
4220,146.91
4927,96.0
112,177.0
6364,102.21
6365,147.9411
6367,180.8586
6384,145.0
6404,177.0
6418,75.15
6420,74.54
6395,87.0
6424,177.0
6111,185.0
1547,177.0
262,72.0
4351,177.0
4603,72.0
123,157.0
6434,73.6128
463,182.0268
368,98.78
357,98.78
378,182.13
358,96.0
379,177.0
369,96.0
3054,133.341
6570,72.0
6462,181.74
6566,180.1
6576,73.0
2635,147.1392
6579,130.0
6590,113.0
6592,177.0
5080,157.0
6613,145.0
313,125.5
959,222.25
6636,87.0
6647,123.0
6659,72.0
6671,182.13
6672,172.09
6677,113.0
6687,177.0
1477,177.0
4476,72.0
4780,177.0
1397,595.0
6804,177.0
433,145.0
6828,72.0
6830,177.0
6863,395.0
