idreceita,Mensalidades
132,72.0
155,72.0
592,72.0
744,72.0
1418,72.0
1430,72.0
1442,72.0
1580,72.0
1601,72.0
1791,72.0
2056,72.0
2668,72.0
2829,72.0
3103,72.0
3195,72.0
3220,72.0
3314,72.0
3157,73.0
154,73.59
2979,73.59
3219,73.7424
298,73.7856
79,73.83
2813,74.1096
1316,74.1312
78,74.5416
2978,80.15
2817,83.6649
3303,86.4
2975,86.95
144,87.0
237,87.0
1037,87.0
3112,87.0
994,88.92
143,88.97
993,89.73
3217,90.04
3288,91.87
186,96.0
2271,96.0
2962,96.0
3360,96.0
59,100.0
1711,100.0
2980,100.0
3213,100.0
766,113.0
1059,113.0
1383,113.0
3041,113.0
3216,113.33
3199,113.8137
2810,114.53
311,123.0
1612,123.0
2818,123.0
2973,123.0
2506,130.0
2802,130.0
2904,130.0
2930,130.0
3034,130.0
3152,130.0
3334,130.0
3369,130.0
1367,132.63
2633,144.0
165,145.0
430,145.0
2296,145.0
2451,145.0
2981,145.0
3151,145.0
164,148.22
3158,149.1615
3162,155.63
121,157.0
720,157.0
755,157.0
898,157.0
1407,157.0
1778,157.0
3282,157.0
3299,157.0
1406,160.29
3150,160.31
3011,161.553
3076,164.0
2809,164.28
3109,165.73
3111,172.09
3215,176.05
3085,176.25
3110,176.31
68,177.0
69,177.0
110,177.0
274,177.0
474,177.0
805,177.0
1155,177.0
1474,177.0
1545,177.0
2079,177.0
2319,177.0
2805,177.0
2988,177.0
3018,177.0
3039,177.0
3077,177.0
3161,177.0
3185,177.0
3271,177.0
3278,177.0
3323,177.0
3349,177.0
3084,177.86
1506,180.59
461,181.1241
3382,185.0
3276,195.0
957,217.0
3125,226.68
1625,236.0
3083,253.0
2028,257.0
2808,265.224
2285,277.0
632,307.0
2943,314.0
2917,340.0
873,354.0
3160,367.83
1006,430.0
2903,464.07
