iddespesa,alimentacao
799879,10.0
799881,80.0
799882,33.98
799884,27.0
799885,474.0
799887,2572.04
799901,70.0
799902,33.59
799919,60.0
799920,36.12
799924,190.3
799935,111.32
799939,60.0
799941,34.55
799972,1716.0
799983,70.0
799984,24.08
799987,10.0
799990,40.0
799991,23.59
799994,50.0
799995,34.3
800007,30.0
800008,34.57
800238,70.0
800239,34.44
800254,60.0
800255,35.23
800262,50.0
800263,35.23
800361,2002.0
800364,70.0
800365,25.55
800368,50.0
800369,23.89
800371,70.0
800372,34.98
800375,187.0
800387,60.0
800388,35.99
800536,80.0
800537,36.83
800541,60.0
800542,34.03
800570,30.0
800571,35.58
800575,1911.0
800576,60.0
800577,23.67
800584,40.0
800585,24.3
800587,40.0
800588,33.98
800594,5.98
800598,90.0
800599,35.23
800718,70.0
800719,35.09
800727,50.0
800728,34.65
800741,80.0
800742,33.43
800750,1989.0
800835,50.0
800836,24.79
800837,70.0
800839,24.08
800842,40.0
800843,35.28
800926,730.36
801130,80.0
801131,35.33
801136,90.32
801143,60.0
801144,37.26
801153,70.0
801154,34.33
801164,77.28
801171,7110.0
