iddespesa,alimentacao
809911,6400.0
809904,170.0
809898,33.4
809897,80.0
809891,28.0
809552,33.54
809888,15.5
809551,70.0
809546,34.89
809545,40.0
809536,35.17
809535,50.0
809532,24.52
809531,70.0
809505,23.86
809880,9.5
809879,128.0
809504,60.0
809503,2080.0
809496,33.51
809495,40.0
809490,153.0
809487,33.84
809877,116.0
809486,60.0
809479,34.76
809478,80.0
809467,35.09
809466,70.0
809460,24.63
809459,50.0
809454,24.14
809453,70.0
809446,23.59
809445,70.0
809438,1989.0
809433,33.78
809432,70.0
809422,34.95
809421,60.0
809419,24.03
809418,80.0
809404,33.65
809403,70.0
809367,34.08
809366,70.0
809361,23.76
809360,70.0
809358,25.2
809357,50.0
809345,2249.0
809340,34.57
809339,60.0
809226,34.95
809225,60.0
809024,34.17
809023,60.0
808637,34.65
808636,60.0
808621,35.12
808620,60.0
808618,24.43
808617,70.0
808611,23.97
808610,70.0
808603,1976.0
808597,34.49
807107,2.0
807106,1.0
808596,70.0
808578,20.39
808577,60.0
808564,255.0
808561,34.65
808560,70.0
