iddespesa,alimentacao
831406,40.0
831407,25.93
831409,50.0
831410,25.14
831412,20.0
831413,35.28
831490,60.0
831491,35.2
831508,30.0
831509,36.45
831631,50.0
831632,34.76
831636,23.0
831638,399.0
831641,3670.0
831645,30.0
831646,34.17
831726,50.0
831727,25.93
831730,50.0
831731,25.98
831733,30.0
831734,35.17
832231,50.0
832232,34.82
832240,275.0
832245,60.0
832248,34.74
832263,60.0
832264,34.52
832277,60.0
832278,35.63
832290,221.0
832299,40.0
832300,25.17
832301,40.0
832302,25.28
832308,40.0
832309,34.68
832379,40.0
832380,35.77
832385,30.0
832386,36.91
832394,60.0
832395,34.98
832471,40.0
832472,35.28
832478,50.0
832479,35.2
832483,40.0
832484,24.41
832486,60.0
832487,34.03
832499,60.0
832500,36.2
832649,2275.0
832791,2145.0
832831,2262.0
832876,2080.0
832892,50.0
832893,34.27
832900,112.0
832902,9.0
832909,32.0
832912,50.0
832913,35.14
832919,60.0
832920,35.63
832922,221.0
832927,6020.0
