idreceita,Mensalidades
135,72.0
263,72.0
595,72.0
1422,72.0
1434,72.0
1521,72.0
1794,72.0
2059,72.0
2671,72.0
2832,72.0
3223,72.0
3317,72.0
3402,72.0
3662,72.0
3718,72.0
3833,72.0
3965,72.0
4389,72.0
4496,72.0
4570,72.0
4581,72.0
4604,72.0
4794,72.0
4904,72.0
5062,72.0
5340,72.0
5488,72.0
5497,72.0
5666,72.0
5713,72.0
5952,72.0
6087,72.0
6103,72.0
6230,72.0
6660,72.0
6878,72.0
6928,72.0
7047,72.0
7343,72.0
7346,72.0
7540,72.0
7654,72.0
7736,72.0
7838,72.0
7889,72.0
8069,72.0
7426,73.0
7767,73.5696
7611,73.5912
322,73.6344
7435,73.6801
7876,73.94
3316,74.0
7539,74.304
7875,74.58
3315,74.67
7724,74.679
7434,81.9701
7288,86.95
1040,87.0
4114,87.0
5349,87.0
5843,87.0
7196,87.0
6396,88.76
7290,89.91
7289,90.63
189,96.0
359,96.0
370,96.0
2274,96.0
5763,96.0
6901,96.0
7292,96.0
7525,96.0
7291,98.73
7981,99.1296
7437,99.8401
1714,100.0
3363,100.0
3920,100.0
5724,100.0
6336,100.0
7827,100.0
7436,100.0801
62,102.03
6877,102.3901
6876,103.3201
7169,110.0
8057,110.0
2967,110.9516
769,113.0
4253,113.0
4813,113.0
5652,113.0
5802,113.0
5463,115.35
7182,115.8702
291,123.0
314,123.0
1062,123.0
1770,123.0
5373,123.0
7988,123.0
6889,124.0
7851,124.0
7871,125.6814
2821,125.7921
5372,125.829
2509,130.0
3372,130.0
3524,130.0
3649,130.0
3650,130.0
4370,130.0
5278,130.0
5446,130.0
5754,130.0
7433,130.0
7754,130.0
7826,130.0
7989,130.0
4878,132.72
7114,133.1804
7351,135.0
7400,135.0
4705,139.4
6910,143.0
4221,144.0
4508,144.0
7512,144.0
2299,145.0
4208,145.0
5677,145.0
5688,145.0
5699,145.0
5778,145.0
7432,145.0
2636,147.1392
885,147.87
5289,147.94
883,150.42
7363,155.66
124,157.0
723,157.0
758,157.0
901,157.0
1410,157.0
1781,157.0
2454,157.0
6049,157.0
7965,157.0
7608,160.0
7803,160.0
5254,160.19
7304,172.09
7142,173.0
7613,173.0
7625,173.0
7984,175.8931
72,177.0
113,177.0
380,177.0
478,177.0
606,177.0
615,177.0
808,177.0
1158,177.0
1509,177.0
1548,177.0
2082,177.0
2322,177.0
2690,177.0
3188,177.0
3325,177.0
3326,177.0
3463,177.0
3908,177.0
3937,177.0
4127,177.0
4140,177.0
4352,177.0
4526,177.0
4769,177.0
4830,177.0
4915,177.0
6059,177.0
6805,177.0
7048,177.0
7102,177.0
7341,177.0
7429,177.0
7636,177.0
7650,177.0
7849,177.0
7850,177.0
7511,178.8188
3822,180.59
5628,180.69
7971,180.8587
4592,181.071
4739,181.071
402,181.1772
7508,181.1772
3292,181.2303
7500,181.39
7552,181.4427
7045,181.92
7046,181.92
7424,182.2923
7499,183.04
7342,189.4215
7964,192.0
3625,195.0
7184,195.0
7328,195.0
7440,195.0
7549,195.0
7963,197.4
7962,199.18
7961,200.85
6925,202.0
2527,209.0
4750,213.0
7501,216.783
8046,224.0
7113,226.68
1628,236.0
7119,250.0
2031,262.37
7750,266.45
7749,268.81
7748,271.17
2288,277.0
4545,277.0
7753,280.84
7752,283.3
7751,285.85
6900,307.0
1739,325.0
7428,350.57
876,354.0
5131,389.0
7878,389.0
7344,394.87
3951,401.53
1009,430.0
7325,447.0
1398,607.0
