iddespesa,alimentacao
803168,200.0
803179,60.0
803180,34.65
803187,2132.0
803193,80.0
803194,23.46
803198,40.0
803199,23.95
803203,158.7
803204,70.0
803205,33.54
803220,119.0
803223,60.0
803224,35.39
803324,80.0
803325,35.33
803338,90.0
803339,23.65
803365,70.0
803366,34.55
803486,60.0
803487,23.89
803489,1833.0
803493,50.0
803494,24.52
803500,60.0
803501,35.36
803513,70.0
803514,33.19
803524,201.24
803529,90.0
803530,35.42
803536,70.0
803537,35.52
803543,256.0
803550,76.63
803551,70.0
803552,35.71
803558,10.0
803559,1860.0
803561,80.0
803562,23.97
803590,70.0
803591,22.89
803594,80.0
803595,34.06
803603,27.0
803608,70.0
803609,35.31
803611,195.8
803613,87.12
803614,4.99
803615,70.0
803616,34.38
803640,50.0
803641,34.41
803652,10.0
803653,80.0
803654,34.25
803661,2002.0
803664,100.0
803665,20.79
803708,70.0
803709,23.57
803714,40.0
803715,34.76
803722,80.0
803723,35.09
804031,70.0
804032,33.87
804042,70.0
804043,36.07
804048,70.0
804049,35.06
804053,340.0
804057,2132.0
804062,80.0
804069,6960.0
