iddespesa,alimentacao
791063,45.0
791071,60.0
791072,24.52
791075,40.0
791076,20.98
791081,70.0
791082,35.44
791101,60.0
791102,33.51
791126,323.0
791136,80.0
791137,35.01
791286,90.0
791287,34.46
791288,1950.0
791302,70.0
791303,20.52
791309,50.0
791310,23.95
791313,34.46
791330,80.0
791331,34.0
791358,80.0
791360,34.6
791373,90.0
791374,35.69
791487,110.0
791488,34.6
791495,1983.0
791499,80.0
791500,24.6
791508,70.0
791509,23.95
791512,50.0
791513,34.33
791514,170.0
791519,5.99
791522,70.0
791523,34.74
791536,60.0
791537,35.82
791540,8.0
791542,66.0
791546,69.1
791550,90.0
791551,34.63
791654,80.0
791655,34.6
791657,1885.0
791675,70.0
791676,24.38
791680,60.0
791681,24.38
791684,60.0
791685,34.57
791695,39.9
791700,80.0
791701,34.33
791709,70.0
791710,36.94
791718,108.0
791719,16.0
791722,16.0
791725,80.0
791726,34.3
791738,90.0
791739,36.39
791745,1807.0
791746,70.0
791747,24.22
792031,341.19
792059,50.0
792062,77.9
792065,100.0
792077,30.0
792080,31.0
792086,371.0
792089,70.5
792090,13.0
792094,80.0
792095,25.22
792100,70.0
792101,35.2
792105,13.0
792110,60.0
792111,35.85
792119,60.0
792120,35.71
792121,9.98
792124,5880.0
