iddespesa,alimentacao
816850,100.49
816854,60.0
816855,35.33
816869,60.0
816870,36.01
816876,295.9
816883,2249.0
816887,50.0
816888,23.92
816906,40.0
816907,25.33
816909,50.0
816910,36.94
816999,50.0
817000,35.74
817013,50.0
817014,35.8
817067,50.0
817069,34.36
817410,60.0
817411,36.31
817413,2262.0
817421,70.0
817422,24.41
817425,60.0
817426,23.32
817429,40.0
817430,34.79
817434,70.0
817435,23.81
817436,40.0
817437,26.23
817439,50.0
817440,35.71
817976,30.0
817977,36.29
817981,204.0
817984,1378.0
817990,60.0
817991,23.65
817993,60.0
817994,23.97
817997,60.0
817998,10.0
817999,35.55
818226,40.0
818227,33.98
818235,60.0
818236,36.23
818249,60.0
818250,36.64
818281,40.0
818282,35.28
818283,2353.0
818287,50.0
818288,20.49
818295,50.0
818296,24.76
818299,70.0
818300,34.25
818304,204.0
818631,9.99
818632,16.5
818641,50.0
818642,34.79
818645,40.0
818646,36.39
818651,60.0
818652,35.14
818656,6190.0
