iddespesa,alimentacao
39654,120.0
39655,28.9
39657,194.0
39659,91.08
39703,25.0
39704,23.24
39727,24.67
39728,30.0
39730,50.0
39741,20.0
39742,140.0
39743,109.26
39744,23.0
39808,60.0
39809,27.9
39810,40.12
39811,33.96
39812,33.84
39813,48.9
39832,70.99
39833,23.0
39881,350.0
39931,31.9
39932,500.0
39959,11.82
39987,15.0
39988,15.0
40021,30.0
40022,160.0
40039,160.0
40040,60.0
40041,166.0
40057,15.0
40058,30.0
40077,15.0
40083,15.0
40084,15.0
40087,30.0
40088,16.18
40109,30.0
40110,15.0
40111,20.0
40114,460.0
