iddespesa,alimentacao
857379,60.0
857381,10.0
857383,50.0
857384,35.51
857393,221.0
857398,60.0
857399,36.18
857408,98.88
857413,50.0
857414,24.37
857427,40.0
857428,25.27
857432,60.0
857433,36.71
857441,80.0
857442,36.12
857466,60.0
857467,36.99
857476,60.0
857477,36.55
857478,2982.66
857484,60.0
857485,36.51
857494,38.9
857512,50.0
857513,24.57
857522,50.0
857523,25.46
857529,60.0
857530,35.0
857535,21.0
857542,70.0
857543,35.17
857554,70.0
857555,36.74
857563,34.0
857564,50.0
857565,35.7
857692,60.0
857693,36.82
857711,60.0
857712,26.25
857715,60.0
857716,36.37
857719,70.0
857720,23.76
857724,60.0
857725,36.23
857784,50.0
857785,36.04
857790,47.3
857795,70.0
857796,30.89
857800,20.0
857801,36.01
857811,50.0
857812,36.18
857817,50.0
857818,24.85
857822,70.0
857823,35.17
857889,60.0
857890,36.26
857957,1638.0
858129,1950.0
858264,2067.0
858377,1755.0
858512,2223.0
858560,31.0
858566,150.7
858569,50.0
858572,60.0
858573,35.62
858578,62.0
858579,408.0
858584,117.26
858585,50.0
858586,35.45
858590,39.8
858594,76.57
858601,60.0
858602,36.18
858614,5710.0
